Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.066,0.0,0.0,0.0,0.0,0.0,0.0
0.094,0.0,0.0,0.0,0.0,0.0,0.0
0.121,0.0,0.0,0.0,0.0,0.0,0.0
0.147,0.0,0.0,0.0,0.0,0.0,0.0
0.172,0.0,0.0,0.0,0.0,0.0,0.0
0.202,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0,0.0,0.0
0.255,0.0,0.0,0.0,0.0,0.0,0.0
0.284,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0,0.0,0.0
0.365,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0,0.0
0.415,0.0,0.0,0.0,0.0,0.0,0.0
0.444,0.0,0.0,0.0,0.0,0.0,0.0
0.469,0.0,0.0,0.0,0.0,0.0,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.0
0.522,0.0,0.0,0.0,0.0,0.0,0.0
0.547,0.0,0.0,0.0,0.0,0.0,0.0
0.577,0.0,0.0,0.0,0.0,0.0,0.0
0.602,0.0,0.0,0.0,0.0,0.0,0.0
0.629,0.0,0.0,0.0,0.0,0.0,0.0
0.655,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0
0.705,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0,0.0,0.0
0.755,0.0,0.0,0.0,0.0,0.0,0.0
0.781,0.0,0.0,0.0,0.0,0.0,0.0
0.809,0.0,0.0,0.0,0.0,0.0,0.0
0.835,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0,0.0
0.885,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0,0.0,0.0
0.936,0.0,0.0,0.0,0.0,0.0,0.0
0.961,0.0,0.0,0.0,0.0,0.0,0.0
0.989,0.0,0.0,0.0,0.0,0.0,0.0
1.014,0.0,0.0,0.0,0.0,0.0,0.0
1.044,0.0,0.0,0.0,0.0,0.0,0.0
1.069,0.0,0.0,0.0,0.0,0.0,0.0
1.094,0.0,0.0,0.0,0.0,0.0,0.0
1.12,0.0,0.0,0.0,0.0,0.0,0.0
1.147,0.0,0.0,0.0,0.0,0.0,0.0
1.174,0.0,0.0,0.0,0.0,0.0,0.0
1.201,0.0,0.0,0.0,0.0,0.0,0.0
1.226,0.0,0.0,0.0,0.0,0.0,0.0
1.251,0.0,0.0,0.0,0.0,0.0,0.0
1.276,0.0,0.0,0.0,0.0,0.0,0.0
1.302,0.0,0.0,0.0,0.0,0.0,0.0
1.33,0.0,0.0,0.0,0.0,0.0,0.0
1.356,0.0,0.0,0.0,0.0,0.0,0.0
1.383,0.0,0.0,0.0,0.0,0.0,0.0
1.41,0.0,0.0,0.0,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0
1.465,0.0,0.0,0.0,0.0,0.0,0.0
1.49,0.0,0.0,0.0,0.0,0.0,0.0
1.515,0.0,0.0,0.0,0.0,0.0,0.0
1.54,0.0,0.0,0.0,0.0,0.0,0.0
1.565,0.0,0.0,0.0,0.0,0.0,0.0
1.59,0.0,0.0,0.0,0.0,0.0,0.0
1.616,0.0,0.0,0.0,0.0,0.0,0.0
1.643,0.0,0.0,0.0,0.0,0.0,0.0
1.67,0.0,0.0,0.0,0.0,0.0,0.0
1.699,0.0,0.0,0.0,0.0,0.0,0.0
1.729,0.0,0.0,0.0,0.0,0.0,0.0
1.754,0.0,0.0,0.0,0.0,0.0,0.0
1.783,0.0,0.0,0.0,0.0,0.0,0.0
1.808,0.0,0.0,0.0,0.0,0.0,0.0
1.833,0.0,0.0,0.0,0.0,0.0,0.0
1.86,0.0,0.0,0.0,0.0,0.0,0.0
1.889,0.0,0.0,0.0,0.0,0.0,0.0
1.917,0.0,0.0,0.0,0.0,0.0,0.0
1.943,0.0,0.0,0.0,0.0,0.0,0.0
1.97,0.0,0.0,0.0,0.0,0.0,0.0
1.995,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.0,0.0,0.0,0.0,0.0,0.0
2.045,0.0,0.0,0.0,0.0,0.0,0.0
2.071,0.0,0.0,0.0,0.0,0.0,0.0
2.096,0.0,0.0,0.0,0.0,0.0,0.0
2.122,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.0,0.0,0.0,0.0,0.0,0.0
2.176,0.0,0.0,0.0,0.0,0.0,0.0
2.201,0.0,0.0,0.0,0.0,0.0,0.0
2.229,0.0,0.0,0.0,0.0,0.0,0.0
2.254,0.0,0.0,0.0,0.0,0.0,0.0
2.28,0.0,0.0,0.0,0.0,0.0,0.0
2.305,0.0,0.0,0.0,0.0,0.0,0.0
2.333,0.0,0.0,0.0,0.0,0.0,0.0
2.36,0.0,0.0,0.0,0.0,0.0,0.0
2.385,0.0,0.0,0.0,0.0,0.0,0.0
2.411,0.0,0.0,0.0,0.0,0.0,0.0
2.436,0.0,0.0,0.0,0.0,0.0,0.0
2.461,0.0,0.0,0.0,0.0,0.0,0.0
2.486,0.0,0.0,0.0,0.0,0.0,0.0
2.511,0.0,0.0,0.0,0.0,0.0,0.0
2.536,0.0,0.0,0.0,0.0,0.0,0.0
2.561,0.0,0.0,0.0,0.0,0.0,0.0
2.587,0.0,0.0,0.0,0.0,0.0,0.0
2.612,0.0,0.0,0.0,0.0,0.0,0.0
2.641,0.0,0.0,0.0,0.0,0.0,0.0
2.669,0.0,0.0,0.0,0.0,0.0,0.0
2.697,0.0,0.0,0.0,0.0,0.0,0.0
2.722,0.0,0.0,0.0,0.0,0.0,0.0
2.747,0.0,0.0,0.0,0.0,0.0,0.0
2.776,0.0,0.0,0.0,0.0,0.0,0.0
2.805,0.0,0.0,0.0,0.0,0.0,0.0
2.831,0.0,0.0,0.0,0.0,0.0,0.0
2.857,0.0,0.0,0.0,0.0,0.0,0.0
2.882,0.0,0.0,0.0,0.0,0.0,0.0
2.91,0.0,0.0,0.0,0.0,0.0,0.0
2.94,0.0,0.0,0.0,0.0,0.0,0.0
2.969,0.0,0.0,0.0,0.0,0.0,0.0
2.994,0.0,0.0,0.0,0.0,0.0,0.0
3.02,0.0,0.0,0.0,0.0,0.0,0.0
3.048,0.0,0.0,0.0,0.0,0.0,0.0
3.073,0.0,0.0,0.0,0.0,0.0,0.0
3.099,0.0,0.0,0.0,0.0,0.0,0.0
3.124,0.0,0.0,0.0,0.0,0.0,0.0
3.149,0.0,0.0,0.0,0.0,0.0,0.0
3.174,0.0,0.0,0.0,0.0,0.0,0.0
3.199,0.0,0.0,0.0,0.0,0.0,0.0
3.224,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0,0.0
3.277,0.0,0.0,0.0,0.0,0.0,0.0
3.302,0.0,0.0,0.0,0.0,0.0,0.0
3.327,0.0,0.0,0.0,0.0,0.0,0.0
3.353,0.0,0.0,0.0,0.0,0.0,0.0
3.378,0.0,0.0,0.0,0.0,0.0,0.0
3.403,0.0,0.0,0.0,0.0,0.0,0.0
3.431,0.0,0.0,0.0,0.0,0.0,0.0
3.459,0.0,0.0,0.0,0.0,0.0,0.0
3.484,0.0,0.0,0.0,0.0,0.0,0.0
3.509,0.0,0.0,0.0,0.0,0.0,0.0
3.535,0.0,0.0,0.0,0.0,0.0,0.0
3.56,0.0,0.0,0.0,0.0,0.0,0.0
3.585,0.0,0.0,0.0,0.0,0.0,0.0
3.611,0.0,0.0,0.0,0.0,0.0,0.0
3.64,0.0,0.0,0.0,0.0,0.0,0.0
3.667,0.0,0.0,0.0,0.0,0.0,0.0
3.692,0.0,0.0,0.0,0.0,0.0,0.0
3.72,0.0,0.0,0.0,0.0,0.0,0.0
3.747,0.0,0.0,0.0,0.0,0.0,0.0
3.774,0.0,0.0,0.0,0.0,0.0,0.0
3.799,0.0,0.0,0.0,0.0,0.0,0.0
3.825,0.0,0.0,0.0,0.0,0.0,0.0
3.85,0.0,0.0,0.0,0.0,0.0,0.0
3.88,0.0,0.0,0.0,0.0,0.0,0.0
3.905,0.0,0.0,0.0,0.0,0.0,0.0
3.932,0.0,0.0,0.0,0.0,0.0,0.0
3.96,0.0,0.0,0.0,0.0,0.0,0.0
3.985,0.0,0.0,0.0,0.0,0.0,0.0
4.01,0.0,0.0,0.0,0.0,0.0,0.0
4.036,0.0,0.0,0.0,0.0,0.0,0.0
4.061,0.0,0.0,0.0,0.0,0.0,0.0
4.086,0.0,0.0,0.0,0.0,0.0,0.0
4.111,0.0,0.0,0.0,0.0,0.0,0.0
4.14,0.0,0.0,0.0,0.0,0.0,0.0
4.165,0.0,0.0,0.0,0.0,0.0,0.0
4.19,0.0,0.0,0.0,0.0,0.0,0.0
4.218,0.0,0.0,0.0,0.0,0.0,0.0
4.244,0.0,0.0,0.0,0.0,0.0,0.0
4.272,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,0.0
4.328,0.0,0.0,0.0,0.0,0.0,0.0
4.353,0.0,0.0,0.0,0.0,0.0,0.0
4.379,0.0,0.0,0.0,0.0,0.0,0.0
4.404,0.0,0.0,0.0,0.0,0.0,0.0
4.43,0.0,0.0,0.0,0.0,0.0,0.0
4.455,0.0,0.0,0.0,0.0,0.0,0.0
4.481,0.0,0.0,0.0,0.0,0.0,0.0
4.506,0.0,0.0,0.0,0.0,0.0,0.0
4.531,0.0,0.0,0.0,0.0,0.0,0.0
4.557,0.0,0.0,0.0,0.0,0.0,0.0
4.582,0.0,0.0,0.0,0.0,0.0,0.0
4.608,0.0,0.0,0.0,0.0,0.0,0.0
4.633,0.0,0.0,0.0,0.0,0.0,0.0
4.66,0.0,0.0,0.0,0.0,0.0,0.0
4.69,0.0,0.0,0.0,0.0,0.0,0.0
4.718,0.0,0.0,0.0,0.0,0.0,0.0
